eventId,eventName,eventCreatedDate,eventCreator,taskId,taskName
b1d9273c-d09d-4fe9-977b-5959e5a131c7,TODO_ITEM_CREATED,2024-03-07T13:50:18.185433,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,Walk the cat
20822247-bc2c-4c5e-965a-1c6d60d09e51,TODO_ITEM_NAME_UPDATED,2024-03-07T15:20:44.699788,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,Walk the dog
81832394-f53d-4248-9c8d-cdc9995e5c03,TODO_ITEM_NAME_UPDATED,2024-03-07T15:28:17.312555,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,Walk the duck
9ccbd2d2-f87c-4aa1-8a23-5350c233c6a0,TODO_ITEM_MARKED_AS_DONE,2024-03-07T15:45:48.323581,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,null
c9309d7c-bdff-4d9d-a3f6-0e96d7582c4c,TODO_ITEM_MARKED_AS_NOT_DONE,2024-03-07T15:50:59.855079,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,null
836736fe-38c5-43c2-9fb1-4d93b227f0d0,TODO_ITEM_NAME_UPDATED,2024-03-07T16:20:25.234288,ellie.priestley,ffb13047-9ac1-40dd-9942-fa1da0b041f2,Make some dinner
fe09e1a8-d8ce-41fe-bae6-1f8c46ee34bc,TODO_ITEM_CREATED,2024-03-08T10:27:11.925782,ellie.priestley,dc259582-0299-42f2-816f-6c0f33efb2d7,Pick up paint samples
7f5ba650-0520-428d-a481-c1df8125ecc4,TODO_ITEM_NAME_UPDATED,2024-03-08T10:29:32.622148,ellie.priestley,dc259582-0299-42f2-816f-6c0f33efb2d7,Pick up paint samples from B&Q
b7df88a6-f87f-434b-8464-0fa6fad8a5bd,TODO_ITEM_MARKED_AS_DONE,2024-03-08T10:29:57.708374,ellie.priestley,dc259582-0299-42f2-816f-6c0f33efb2d7,null
9c259db3-ce49-426a-aff8-d7d9a7ac0e39,TODO_ITEM_CREATED,2024-03-08T10:30:36.237608,ellie.priestley,f50ba4e1-25d2-4614-849e-a89b33120022,Book spin class for next week
f9a17517-4aea-4ddb-bee4-cbd604530d31,TODO_ITEM_CREATED,2024-03-08T16:37:28.230465,ellie.priestley,4bf5d530-de3e-456f-a820-d70f9aeb7b15,Pack bag for tomorrow
9de0722c-84df-42dc-b399-bb6f2ece989e,TODO_ITEM_CREATED,2024-03-11T16:05:23.607859,ellie.priestley,eca25748-c35c-4a49-85f4-a315a7709d1d,Organise facetime call with mum
04db801c-55f5-4e09-a022-4af12d993247,TODO_ITEM_CREATED,2024-03-12T15:49:03.559046,ellie.priestley,4902193b-934d-42d0-8a5f-a2237b186080,Book flight to NYC
d222bb76-698c-4863-ab25-a1bfd7769880,TODO_ITEM_NAME_UPDATED,2024-03-12T15:55:14.73323,ellie.priestley,4902193b-934d-42d0-8a5f-a2237b186080,Book flight to NYC (JFK)
629e8293-042d-4973-8683-b2974ced7cb4,TODO_ITEM_CREATED,2024-03-19T16:48:54.435396,ellie.priestley,58990db9-ac96-4e61-bc47-2ddb1f61622a,Read presentation from CYF and note questions
06e74acc-26ba-4e28-89c5-05f1fd76ee38,TODO_ITEM_MARKED_AS_DONE,2024-03-19T16:49:26.267345,ellie.priestley,58990db9-ac96-4e61-bc47-2ddb1f61622a,null
